Ward code,Year ending Dec 2019
E05010314,338750
E05010315,240000
E05010316,230000
E05010317,277999
E05010318,217500
E05010319,263000
E05010320,210000
E05010321,271777
E05010322,206278
E05010323,225500
E05010324,239950
E05010325,289998
E05010326,278000
E05010327,245000
E05010328,360000
E05010329,285000
E05010330,190000
E05010331,305000
E05010774,284000
E05010775,584250
E05006191,190000
E05010776,142500
E05009664,332250
E05009665,257500
E05009666,199975
E05010777,300000
E05010778,230000
E05006198,228750
E05010779,286500
E05010780,245250
E05009667,219950
E05009668,326123
E05006203,142500
E05009669,155000
E05009670,185995
E05006206,275000
E05009671,222875
E05009672,265000
E05009673,356750
E05009674,207500
E05009675,265000
E05009676,210000
E05009677,319675
E05009678,256250
E05009679,245000
E05009680,214950
E05009681,167500
E05009682,315000
E05009683,318000
E05009684,215000
E05009685,234950
E05009686,245000
E05009687,345000
E05009688,180000
E05011308,390000
E05011309,302500
E05011310,427500
E05011311,385000
E05011312,218000
E05011313,200000
E05011314,275000
E05011315,240000
E05011316,600000
E05011317,205000
E05011318,387200
E05011319,188500
E05011320,258000
E05011321,247500
E05011322,212500
E05011323,325000
E05011324,267500
E05011325,521886
E05011327,222750
E05011326,379000
E05011328,208000
E05011329,522500
E05011330,292500
E05011331,374975
E05011332,330000
E05011333,246500
E05011334,253000
E05011335,377475
E05011336,367500
E05011337,332500
E05011338,297475
E05011339,384950
E05011340,320000
E05011341,185000
E05011342,240000
E05011343,285000
E05011344,225000
E05011345,331500
E05011346,390000
E05011347,295000
E05012356,184950
E05012357,140000
E05012358,271500
E05012359,237250
E05012360,217500
E05012361,145000
E05012362,270000
E05012363,275000
E05012364,280000
E05012365,255000
E05012366,235000
E05012367,216000
E05012368,189975
E05012369,182950
E05012370,138975
E05012371,280000
E05006297,215500
E05006298,293500
E05006299,300000
E05006300,350000
E05006301,322500
E05006302,339998
E05006303,247750
E05006304,183750
E05006305,234950
E05006306,179000
E05006307,173998
E05006308,200000
E05006309,199250
E05006310,285000
E05006311,375000
E05006312,176000
E05006313,285000
E05006314,366000
E05006315,255000
E05006316,212000
E05012372,245000
E05012373,107500
E05012374,162750
E05012375,203000
E05012376,190000
E05012377,137500
E05012378,241250
E05012379,126250
E05012380,155000
E05012381,260000
E05012382,170000
E05012383,194975
E05012384,170000
E05012385,135000
E05012386,257250
E05012387,177000
E05012388,156500
E05012389,153500
E05012390,160000
E05012391,148000
E05010044,367500
E05010045,209995
E05010046,215000
E05010047,166000
E05010048,210000
E05010049,295000
E05010050,203500
E05010051,169995
E05010052,350000
E05010053,258000
E05010054,208000
E05010055,259995
E05010056,145000
E05010057,165500
E05010058,225000
